"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://vacationdeals.to/","text/html; charset=utf-8","200","OK","Indexable","","610+ Vacation Deals from $48.86 | VacationDeals.to","50","461","Vacation deals from 34 resort brands starting at $48.86. Compare 610+ resort deals and travel deals across 82+ destinations.","124","778","","0","The Best Vacation Deals from Top Resorts","40","Featured Deals","14","Popular Destinations","20","index, follow","","","","https://vacationdeals.to/","","","","","","164484","35966","35966","5.330","","886","154","5.753","100.000","Very Easy","3.570","0","0","","4931","2391","0","100.000","92","52","0","0","0","0","","","","","df18e52218b768ea67fb2467b0075924","0.192","","","","","en","1.1","","","","","","https://vacationdeals.to/","2026-07-30 21:38:09"
"https://vacationdeals.to/resort-roulette","text/html; charset=utf-8","200","OK","Indexable","","Resort Roulette — Spin to Win a Random Vacation Deal | VacationDeals.to","71","648","Spin the wheel and discover a random vacation deal. Real scraped vacpacks from 40+ brands. Every spin reveals a new resort, destination, and price.","147","918","","0","Resort Roulette","15","How Resort Roulette Works","25","","0","index, follow","","","","https://vacationdeals.to/resort-roulette","","","","","","96208","19758","19758","2.928","","501","55","9.109","100.000","Very Easy","3.616","1","0","","2393","2391","0","100.000","69","42","0","0","0","0","","","","","e986ac2537c6af68e9e09680816c951a","0.488","","","","","en","1.1","","","","","","https://vacationdeals.to/resort-roulette","2026-07-30 21:38:20"
"https://vacationdeals.to/deals/payvibe-myrtle-beach-3-night-50","text/html; charset=utf-8","200","OK","Indexable","","WESTGATE MYRTLE BE… Myrtle Beach — 4D/3N from $50 via PayVibe Travel | VacationDeals.to","87","845","Book a 3-night vacation deal at WESTGATE MYRTLE BEACH plus a $50 RESORT CREDIT STARTING AT in Myrtle Beach, SC for just $50. Save null% off the $50 retail price. Compare resort deals at VacationDeals.to.","203","1315","","0","WESTGATE MYRTLE BEACH plus a $50 RESORT CREDIT STARTING AT","58","About This Package","18","Frequently Asked Questions About This Myrtle Beach Deal","55","","","","","https://vacationdeals.to/deals/payvibe-myrtle-beach-3-night-50","","","","","","159955","39153","39153","5.802","","1533","197","7.782","80.121","Easy","6.464","1","1","","4843","2391","0","100.000","76","43","0","1","1","0","","","","","fc837064bd59412a170c285e5fac0955","0.574","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/payvibe-myrtle-beach-3-night-50","2026-07-30 21:38:20"
"https://vacationdeals.to/hgv","text/html; charset=utf-8","200","OK","Indexable","","Hilton Grand Vacations Vacation Deals from $249 | VacationDeals.to","66","603","1 Hilton Grand Vacations vacation deals from $249. Browse resort deals in Las Vegas, and more.","94","597","","0","Hilton Grand Vacations","22","About Hilton Grand Vacations","28","Frequently Asked Questions","26","index, follow","","","","https://vacationdeals.to/hgv","","","","","","141190","32644","32644","4.838","","1113","138","8.065","87.901","Easy","5.487","1","0","","2538","2391","0","100.000","91","59","0","0","0","0","","","","","8046fd3708f95b79431a36ce0f7f4720","0.639","","","","","en","1.1","","","","","","https://vacationdeals.to/hgv","2026-07-30 21:38:20"
"https://vacationdeals.to/deals/bestvacationdealz-gatlinburg-3-night-49","text/html; charset=utf-8","200","OK","Indexable","","3 noches de vacac… Gatlinburg — 4D/3N from $49 via BestVacationDealz | VacationDeals.to","87","811","Book a 3-night vacation deal at 3 noches de vacaciones en Orlando con 4 entradas para el parque de Agua Shipwreck Island in Gatlinburg, TN for just $49. Save null% off the $269 retail price. Compare resort deals at VacationDeals.to.","232","1437","","0","3 noches de vacaciones en Orlando con 4 entradas para el parque de Agua Shipwreck Island — 4D/3N from $49","105","About This Package","18","What's Included","15","","","","","https://vacationdeals.to/deals/bestvacationdealz-gatlinburg-3-night-49","","","","","","160525","38151","38151","5.654","","1342","170","7.894","82.765","Easy","5.636","1","1","","4781","2354","0","98.450","76","43","0","1","1","0","","","","","b86336f7314c3efd17d140cfd9470881","0.517","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/bestvacationdealz-gatlinburg-3-night-49","2026-07-30 21:38:20"
"https://vacationdeals.to/marriott","text/html; charset=utf-8","200","OK","Indexable","","Marriott Vacation Club Vacation Deals from $299 | VacationDeals.to","66","599","12 Marriott Vacation Club vacation deals from $299. Browse resort deals in Florida, Las Vegas, Oahu, Orlando, and more.","119","743","","0","Marriott Vacation Club","22","About Marriott Vacation Club","28","Frequently Asked Questions","26","index, follow","","","","https://vacationdeals.to/marriott","","","","","","205890","45781","45781","6.785","","1524","240","6.350","82.150","Easy","5.102","1","0","","2669","2391","0","100.000","102","70","0","0","0","0","","","","","2c7586e9eff0870691178382bbccf06","0.607","","","","","en","1.1","","","","","","https://vacationdeals.to/marriott","2026-07-30 21:38:20"
"https://vacationdeals.to/brands","text/html; charset=utf-8","200","OK","Indexable","","Vacation Deal Brands — 34 Brands, 610 Deals | VacationDeals.to","62","567","Vacation deals from 34 brands with 610 active resort deals. Browse deals from Westgate, Hilton Grand Vacations, Marriott, Wyndham, and more.","140","892","","0","Vacation Deal Brands","20","Westgate Reservations","21","StayPromo","9","index, follow","","","","","","","","","","171543","38163","38163","5.656","","771","146","5.281","100.000","Very Easy","3.088","1","0","","5580","2391","0","100.000","103","71","0","0","0","0","","","","","e33dfb0c6663031c72f9c2154f57d8f3","0.169","","","","","en","1.1","","","","","","https://vacationdeals.to/brands","2026-07-30 21:38:23"
"https://vacationdeals.to/deals/westgate-branson-3-night-59","text/html; charset=utf-8","200","OK","Indexable","","4 Days 3 Nights… Branson — 4D/3N from $59 via Westgate Reservations | VacationDeals.to","86","802","Book a 3-night vacation deal at 4 Days 3 Nights at Westgate Branson Woods Resort in Branson, MO for just $59. Save 90% off the $589 retail price. Compare resort deals at VacationDeals.to.","187","1171","","0","4 Days 3 Nights at Westgate Branson Woods Resort","48","What's Included","15","Frequently Asked Questions About This Branson Deal","50","","","","","https://vacationdeals.to/deals/westgate-branson-3-night-59","","","","","","158777","37627","37627","5.576","","1307","166","7.873","87.187","Easy","5.465","1","1","","4862","2391","0","100.000","76","44","0","1","1","0","","","","","c288b71955b26c22be0a0445d1b6cf19","0.103","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/westgate-branson-3-night-59","2026-07-30 21:38:23"
"https://vacationdeals.to/_next/static/chunks/app/(frontend)/page-46ff8fcc39849dcd.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.052","Fri, 31 Jul 2026 01:23:33 GMT","","","","","1.1","","","","","","https://vacationdeals.to/_next/static/chunks/app/(frontend)/page-46ff8fcc39849dcd.js","2026-07-30 21:38:24"
"https://vacationdeals.to/deals/westgate-orlando-2-night-59","text/html; charset=utf-8","200","OK","Indexable","","Facebook 3-Day/2… Orlando — 3D/2N from $59 via Westgate Reservations | VacationDeals.to","87","821","Book a 2-night vacation deal at Facebook 3-Day/2-Night Orlando Resort Getaway from $59 in Orlando, FL for just $59. Save 85% off the $399 retail price. Compare resort deals at VacationDeals.to.","193","1204","","0","Facebook 3-Day/2-Night Orlando Resort Getaway from $59","54","About This Package","18","What's Included","15","","","","","https://vacationdeals.to/deals/westgate-orlando-2-night-59","","","","","","164477","40488","40488","6.000","","1568","211","7.431","76.169","Fairly Easy","6.493","1","1","","4989","2391","0","100.000","76","42","0","1","1","0","","","","","a0700ce3079a46c2b29dbd9f8a81fc66","0.143","","","","","en","1.1","","","","","","https://vacationdeals.to/deals/westgate-orlando-2-night-59","2026-07-30 21:38:24"
